

Generation 1º
Individual    Value      Choice Probability 
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 24º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 25º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 26º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 27º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 28º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 29º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 30º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 31º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 32º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 33º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 34º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 35º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 36º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 37º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 38º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 39º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 40º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 41º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 42º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 43º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 44º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 45º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
